,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,0.94,0.82,0.88,61.0,53.0,0.95,0.89,0.92,61.0,57.0,0.96,0.82,0.88,61.0,52.0,0.94,0.74,0.83,61.0,48.0,0.94,0.82,0.88,61,53,0.93,0.87,0.9,61.0,57.0
1a: Output too weak,0.2,0.5,0.29,4.0,10.0,0.36,1.0,0.53,4.0,11.0,0.31,1.0,0.47,4.0,13.0,0.38,0.75,0.5,4.0,8.0,0.17,0.25,0.2,4,6,0.4,0.5,0.44,4.0,5.0
2a: Output too strong,0.67,0.4,0.5,5.0,3.0,0.67,0.4,0.5,5.0,3.0,0.75,0.6,0.67,5.0,4.0,0.67,0.4,0.5,5.0,3.0,0.5,0.2,0.29,5,2,0.5,0.2,0.29,5.0,2.0
3a: Input and Output independent,0.44,1.0,0.62,4.0,9.0,0.5,0.5,0.5,4.0,4.0,0.5,0.5,0.5,4.0,4.0,0.0,0.0,0.0,4.0,2.0,0.25,0.25,0.25,4,4,0.3,0.75,0.43,4.0,10.0
macro avg,0.56,0.68,0.57,74.0,75.0,0.62,0.7,0.61,74.0,75.0,0.5,0.58,0.5,74.0,75.0,0.4,0.38,0.37,74.0,75.0,0.31,0.25,0.27,74,75,0.43,0.46,0.41,74.0,75.0
2b: Output contradictory,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,1.0
3b: Input and Output contradictory,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,3,,,,,
