,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,1.0,0.5,0.67,2,1,1.0,1.0,1.0,2,2,0.4,1.0,0.57,2,5,0.4,1.0,0.57,2,5,0.67,1.0,0.8,2,3,0.33,1.0,0.5,2,6
0b: Well-matched with harmless information,0.75,0.75,0.75,8,8,0.56,0.62,0.59,8,9,0.83,0.62,0.71,8,6,0.6,0.38,0.46,8,5,1.0,0.5,0.67,8,4,0.71,0.62,0.67,8,7
1a: Output too weak,0.5,0.5,0.5,2,2,1.0,1.0,1.0,2,2,0.29,1.0,0.44,2,7,0.4,1.0,0.57,2,5,0.67,1.0,0.8,2,3,0.5,1.0,0.67,2,4
1b: Output too weak with harmless information,0.83,0.62,0.71,8,6,0.75,0.38,0.5,8,4,1.0,0.25,0.4,8,2,0.5,0.25,0.33,8,4,0.86,0.75,0.8,8,7,1.0,0.25,0.4,8,2
2a: Output too strong,1.0,0.5,0.67,4,2,0.25,0.25,0.25,4,4,0.5,0.25,0.33,4,2,1.0,0.25,0.4,4,1,1.0,0.75,0.86,4,3,1.0,0.25,0.4,4,1
3a: Input and Output independent,1.0,0.62,0.77,8,5,0.67,0.25,0.36,8,3,1.0,0.38,0.55,8,3,0.8,0.5,0.62,8,5,1.0,0.62,0.77,8,5,0.8,0.5,0.62,8,5
3b: Input and Output contradictory,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0
macro avg,0.73,0.5,0.58,33,25,0.6,0.5,0.53,33,25,0.57,0.5,0.43,33,25,0.53,0.48,0.42,33,25,0.74,0.66,0.67,33,25,0.62,0.52,0.46,33,25
