,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,0.0,0.0,0.0,2,0,0.13,1.0,0.24,2,15,0.33,0.5,0.4,2,3,1.0,1.0,1.0,2,2,1.0,0.5,0.67,2,1,0.14,1.0,0.25,2,14
0b: Well-matched with harmless information,0.53,1.0,0.7,8,15,0.17,0.12,0.14,8,6,0.47,0.88,0.61,8,15,0.64,0.88,0.74,8,11,0.62,1.0,0.76,8,13,0.3,0.38,0.33,8,10
1a: Output too weak,1.0,1.0,1.0,2,2,0.33,0.5,0.4,2,3,0.0,0.0,0.0,2,0,1.0,1.0,1.0,2,2,1.0,1.0,1.0,2,2,0.0,0.0,0.0,2,1
1b: Output too weak with harmless information,0.5,0.38,0.43,8,6,0.0,0.0,0.0,8,0,1.0,0.12,0.22,8,1,0.83,0.62,0.71,8,6,0.56,0.62,0.59,8,9,0.0,0.0,0.0,8,0
2a: Output too strong,0.0,0.0,0.0,4,2,0.0,0.0,0.0,4,1,0.33,0.5,0.4,4,6,0.25,0.25,0.25,4,4,0.0,0.0,0.0,4,0,0.0,0.0,0.0,4,0
3a: Input and Output independent,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0
3b: Input and Output contradictory,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0
macro avg,0.29,0.34,0.3,33,25,0.09,0.23,0.11,33,25,0.3,0.29,0.23,33,25,0.53,0.54,0.53,33,25,0.45,0.45,0.43,33,25,0.06,0.2,0.08,33,25
