,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,1.0,0.5,0.67,2,1,1.0,0.5,0.67,2,1,0.33,0.5,0.4,2,3,0.17,1.0,0.29,2,12,0.17,1.0,0.29,2,12,1.0,1.0,1.0,2,2
0b: Well-matched with harmless information,0.7,0.88,0.78,8,10,0.7,0.88,0.78,8,10,0.5,0.88,0.64,8,14,0.43,0.38,0.4,8,7,0.6,0.38,0.46,8,5,0.7,0.88,0.78,8,10
1a: Output too weak,0.67,1.0,0.8,2,3,1.0,1.0,1.0,2,2,0.0,0.0,0.0,2,0,0.5,1.0,0.67,2,4,0.4,1.0,0.57,2,5,1.0,1.0,1.0,2,2
1b: Output too weak with harmless information,0.83,0.62,0.71,8,6,0.8,0.5,0.62,8,5,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.8,0.5,0.62,8,5
2a: Output too strong,0.4,0.5,0.44,4,5,0.5,0.5,0.5,4,4,0.25,0.5,0.33,4,8,0.5,0.25,0.33,4,2,0.33,0.25,0.29,4,3,0.2,0.25,0.22,4,5
3a: Input and Output independent,0.0,0.0,0.0,8,0,0.67,0.25,0.36,8,3,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,8,0,1.0,0.12,0.22,8,1
3b: Input and Output contradictory,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,0
macro avg,0.51,0.5,0.49,33,25,0.67,0.52,0.56,33,25,0.15,0.27,0.2,33,25,0.23,0.38,0.24,33,25,0.21,0.38,0.23,33,25,0.67,0.54,0.55,33,25
