,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,0.97,0.93,0.95,61.0,59.0,0.93,0.9,0.92,61.0,59.0,0.92,0.54,0.68,61,36,0.96,0.9,0.93,61.0,57.0,0.9,0.89,0.89,61.0,60.0,0.93,0.9,0.92,61.0,59.0
1a: Output too weak,0.5,0.75,0.6,4.0,6.0,0.43,0.75,0.55,4.0,7.0,0.25,0.5,0.33,4,8,0.5,1.0,0.67,4.0,8.0,0.44,1.0,0.62,4.0,9.0,0.2,0.25,0.22,4.0,5.0
2a: Output too strong,1.0,0.6,0.75,5.0,3.0,1.0,0.4,0.57,5.0,2.0,0.0,0.0,0.0,5,9,1.0,0.8,0.89,5.0,4.0,1.0,0.4,0.57,5.0,2.0,0.5,0.2,0.29,5.0,2.0
3a: Input and Output independent,0.57,1.0,0.73,4.0,7.0,0.57,1.0,0.73,4.0,7.0,0.67,0.5,0.57,4,3,0.75,0.75,0.75,4.0,4.0,1.0,0.75,0.86,4.0,3.0,0.2,0.25,0.22,4.0,5.0
macro avg,0.76,0.82,0.76,74.0,75.0,0.73,0.76,0.69,74.0,75.0,0.31,0.26,0.26,74,75,0.64,0.69,0.65,74.0,75.0,0.67,0.61,0.59,74.0,75.0,0.37,0.32,0.33,74.0,75.0
2b: Output contradictory,,,,,,,,,,,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
3b: Input and Output contradictory,,,,,,,,,,,0.0,0.0,0.0,0,13,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
