,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,openai_gpt-5,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-sonnet-4,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,anthropic_claude-opus-4.1,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,google_gemini-2.5-pro,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,deepseek_deepseek-r1-0528,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4,x-ai_grok-4
,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count,precision,recall,f1-score,support,pred_count
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a: Well-matched,0.93,0.89,0.91,61.0,58.0,0.94,0.8,0.87,61.0,52.0,0.9,0.9,0.9,61.0,61.0,0.92,0.89,0.9,61.0,59.0,0.93,0.9,0.92,61.0,59.0,0.93,0.89,0.91,61.0,58.0
1a: Output too weak,0.44,1.0,0.62,4.0,9.0,0.22,1.0,0.36,4.0,18.0,0.38,0.75,0.5,4.0,8.0,0.44,1.0,0.62,4.0,9.0,0.44,1.0,0.62,4.0,9.0,0.36,1.0,0.53,4.0,11.0
2a: Output too strong,1.0,0.4,0.57,5.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.4,0.57,5.0,2.0,1.0,0.4,0.57,5.0,2.0,1.0,0.4,0.57,5.0,2.0
3a: Input and Output independent,0.67,1.0,0.8,4.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.75,0.75,0.75,4.0,4.0,1.0,0.75,0.86,4.0,3.0,0.67,0.5,0.57,4.0,3.0
macro avg,0.76,0.82,0.72,74.0,75.0,0.23,0.36,0.25,74.0,75.0,0.26,0.33,0.28,74.0,75.0,0.62,0.61,0.57,74.0,75.0,0.68,0.61,0.59,74.0,75.0,0.59,0.56,0.52,74.0,75.0
3b: Input and Output contradictory,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,
2b: Output contradictory,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0
