input	output	model	block_name	block_Q	item
"Name: Aktiv Panoramahotel Daniel
Star rating: 4
City: Sautens
Country: Austria
Accommodation type: Hotel
Hotel facilities: Hotel safe
Room amenities: Fridge, Cable TV
Sport: Volleyball, Pool table
Childcare services: Childcare
Wellness: Beauty salon, Steam room, Body treatments
Accessibility: Wheelchair accessible"	"The 4-star Aktiv Panoramahotel Daniel is located in the Austrian city of Sautens.
It offers a fitness centre, a sauna, a beauty salon and a steam room.
The hotel also provides childcare services and a children's playground.
All rooms come with a fridge and a cable TV."	google/flan-t5-xxl			
"Name: Aktiv Panoramahotel Daniel
Star rating: 4
City: Sautens
Country: Austria
Accommodation type: Hotel
Hotel facilities: Hotel safe
Room amenities: Fridge, Cable TV
Sport: Volleyball, Pool table
Childcare services: Childcare
Wellness: Beauty salon, Steam room, Body treatments
Accessibility: Wheelchair accessible"	"The Aktiv Panoramahotel Daniel is a 4-star hotel located in the charming town of Sautens, Austria.
This hotel offers a variety of amenities and facilities to ensure a comfortable and enjoyable stay for all guests.
The hotel features a hotel safe, providing a secure place for guests to store their valuables during their stay.
The rooms are equipped with a fridge and cable TV, allowing guests to store and enjoy their favorite drinks and snacks while watching their favorite shows.
For sports enthusiasts, the hotel offers volleyball and a pool table, providing opportunities for guests to stay active and have fun during their stay.
For those traveling with children, the hotel offers childcare services, giving parents the opportunity to relax and enjoy some alone time.
The hotel also has a wellness area, where guests can indulge in beauty treatments, relax in the steam room, and take advantage of various body treatments.
The hotel is wheelchair accessible, ensuring that all guests can easily move around and enjoy all that the hotel has to offer."	mistralai/Mixtral-8x7B-Instruct-v0.1			
"Name: Aktiv Panoramahotel Daniel
Star rating: 4
City: Sautens
Country: Austria
Accommodation type: Hotel
Hotel facilities: Hotel safe
Room amenities: Fridge, Cable TV
Sport: Volleyball, Pool table
Childcare services: Childcare
Wellness: Beauty salon, Steam room, Body treatments
Accessibility: Wheelchair accessible"	"The Aktiv Panoramahotel Daniel is a 4-star hotel located in Sautens, Austria.
It offers a range of hotel facilities, including a hotel safe to keep your valuables secure.
The rooms come equipped with a fridge and cable TV, providing guests with all the amenities they need for a comfortable stay.
The hotel also offers a variety of sports and leisure activities, such as volleyball and pool table, as well as childcare services for families traveling with young children.
For guests looking to relax and unwind, the hotel features a beauty salon, steam room, and body treatments, providing a range of wellness options.
Additionally, the hotel is wheelchair accessible, making it a great option for guests with mobility needs."	tiiuae/falcon-180b-demo			
"Name: Aktiv Panoramahotel Daniel
Star rating: 4
City: Sautens
Country: Austria
Accommodation type: Hotel
Hotel facilities: Hotel safe
Room amenities: Fridge, Cable TV
Sport: Volleyball, Pool table
Childcare services: Childcare
Wellness: Beauty salon, Steam room, Body treatments
Accessibility: Wheelchair accessible"	"Welcome to Aktiv Panoramahotel Daniel, a 4-star hotel nestled in the charming city of Sautens, Austria.
Our hotel offers a panoramic view of the picturesque surroundings.
Guests can enjoy a comfortable stay with amenities such as a fridge and cable TV in each room.
For recreation, we provide facilities for volleyball and pool table enthusiasts.
Families can avail themselves of childcare services, while those seeking relaxation can indulge in our wellness offerings including a beauty salon, steam room, and body treatments.
Additionally, we ensure accessibility for all guests with wheelchair-accessible features.
Rest assured, your stay with us will be both relaxing and memorable."	ChatGPT/feb-20			
"Name: Aktiv Panoramahotel Daniel
Star rating: 4
City: Sautens
Country: Austria
Accommodation type: Hotel
Hotel facilities: Hotel safe
Room amenities: Fridge, Cable TV
Sport: Volleyball, Pool table
Childcare services: Childcare
Wellness: Beauty salon, Steam room, Body treatments
Accessibility: Wheelchair accessible"	"4-star Aktiv Panoramahotel Daniel in Sautens, Austria offers accessible hotel accommodations with a safe.
Rooms include a fridge and cable TV.
Guests have access to volleyball, a pool table, childcare services, and wellness amenities such as a beauty salon, steam room, and body treatments."	gemini-1.0-pro			
"Name: DoubleTree by Hilton Bodrum Isil Club Resort
Star rating: 5
City: Bodrum
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: Nightclub, Temperature screening
Room amenities: Central heating
Sport: Table tennis
Childcare services: Organised activities for kids, Kids' club, Playground
Wellness: Body treatments
Accessibility: Wheelchair accessible, Accessible bathroom, Accessible hotel"	"DoubleTree by Hilton Bodrum Isil Club Resort is a 5 star hotel in Bodrum, Turkey.
It has a nightclub, temperature screening, central heating, table tennis, childcare services, a kids club, playground and body treatments."	google/flan-t5-xxl			
"Name: DoubleTree by Hilton Bodrum Isil Club Resort
Star rating: 5
City: Bodrum
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: Nightclub, Temperature screening
Room amenities: Central heating
Sport: Table tennis
Childcare services: Organised activities for kids, Kids' club, Playground
Wellness: Body treatments
Accessibility: Wheelchair accessible, Accessible bathroom, Accessible hotel"	"The DoubleTree by Hilton Bodrum Isil Club Resort is a luxurious 5-star hotel located in the beautiful city of Bodrum, Türkiye.
This stunning accommodation offers a wide range of facilities and amenities to ensure a comfortable and enjoyable stay for all guests.
As a hotel, the DoubleTree by Hilton Bodrum Isil Club Resort boasts a range of facilities including a nightclub, perfect for those looking to let their hair down and enjoy a lively evening.
The hotel also features temperature screening, providing an added layer of safety and security for all guests.
Each of the hotel's rooms comes equipped with central heating, ensuring a cozy and comfortable stay no matter the time of year.
Guests can also enjoy a range of sporting activities during their stay, including table tennis.
For families traveling with children, the hotel offers a range of childcare services including organized activities for kids, a kids' club, and a playground.
These services are designed to keep children entertained and engaged while parents enjoy some well-deserved relaxation time.
The hotel also offers a range of wellness services, including body treatments."	mistralai/Mixtral-8x7B-Instruct-v0.1			
"Name: DoubleTree by Hilton Bodrum Isil Club Resort
Star rating: 5
City: Bodrum
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: Nightclub, Temperature screening
Room amenities: Central heating
Sport: Table tennis
Childcare services: Organised activities for kids, Kids' club, Playground
Wellness: Body treatments
Accessibility: Wheelchair accessible, Accessible bathroom, Accessible hotel"	"The DoubleTree by Hilton Bodrum Isil Club Resort is a luxurious 5-star hotel located in the charming city of Bodrum, Türkiye.
This hotel offers a range of accommodation options, including rooms with central heating, and a variety of amenities to make your stay as comfortable as possible.
One of the standout features of this hotel is its nightclub, where you can dance the night away to your favorite tunes.
Additionally, the hotel offers temperature screening to ensure the safety of all guests.
For those who enjoy sports, there is a table tennis table available for use.
For families, there are childcare services such as organised activities for kids, a kids' club, and a playground.
If you're looking for a relaxing getaway, the hotel offers wellness facilities such as body treatments to help you unwind.
Accessibility is a priority at the DoubleTree by Hilton Bodrum Isil Club Resort, with wheelchair accessible rooms, an accessible bathroom, and an accessible hotel to ensure that all guests can enjoy their stay."	tiiuae/falcon-180b-demo			
"Name: DoubleTree by Hilton Bodrum Isil Club Resort
Star rating: 5
City: Bodrum
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: Nightclub, Temperature screening
Room amenities: Central heating
Sport: Table tennis
Childcare services: Organised activities for kids, Kids' club, Playground
Wellness: Body treatments
Accessibility: Wheelchair accessible, Accessible bathroom, Accessible hotel"	"Located in Bodrum, Türkiye, the DoubleTree by Hilton Bodrum Isil Club Resort is a luxurious 5-star hotel offering unparalleled comfort and accessibility.
This elegant hotel boasts a range of amenities including a nightclub and temperature screening for guest safety.
Guests can enjoy central heating in their rooms for cozy comfort, while sport enthusiasts can engage in table tennis.
Families will appreciate the childcare services available, including organized activities for kids, a kids' club, and a playground.
For relaxation, guests can indulge in rejuvenating body treatments at the wellness center.
Additionally, the hotel is wheelchair accessible with facilities such as accessible bathrooms, making it a welcoming destination for all guests."	ChatGPT/feb-20			
"Name: DoubleTree by Hilton Bodrum Isil Club Resort
Star rating: 5
City: Bodrum
Country: Türkiye
Accommodation type: Hotel
Hotel facilities: Nightclub, Temperature screening
Room amenities: Central heating
Sport: Table tennis
Childcare services: Organised activities for kids, Kids' club, Playground
Wellness: Body treatments
Accessibility: Wheelchair accessible, Accessible bathroom, Accessible hotel"	"Escape to the alluring DoubleTree by Hilton Bodrum Isil Club Resort, a 5-star haven in Bodrum, Türkiye.
Indulge in a luxurious stay with a pulsating nightclub and temperature screening for enhanced safety.
Unwind in cozy rooms boasting central heating.
Stay active with table tennis, while kids relish organized activities, a kids' club, and a playground.
Pamper yourself with invigorating body treatments in the wellness center.
The resort ensures accessibility for all with wheelchair access, accessible bathrooms, and an accessible hotel."	gemini-1.0-pro			
